SchoolName, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 
Beijing Institute of Technology, 181 49 14 173 8909.6 5 , 183 226 11 175 13942.3 7 , 201 171 22 191 15319.4 9 , 175 112 11 171 15101 4 , 172 155 29 165 12397 5 , 218 132 18 208 15704.1 5 , 221 128 19 207 24758.7 7 , 261 10 19 245 18117.7 8 , 248 7 27 244 14354.43 4 , 0 4 0 0 0 0 , 
Tsinghua University, 646 125 16 616 45090.7 25 , 664 336 21 606 56488.29 34 , 637 238 31 591 68878.55 31 , 618 172 48 567 72155.2 42 , 627 178 64 575 55615.0897 42 , 649 159 37 591 65554.24 27 , 736 173 24 651 81129.4 51 , 696 50 29 594 63896.69 56 , 592 27 25 549 51717.5118 42 , 0 18 8 0 0 0 , 
Zhejiang University, 773 219 220 723 42038.17 46 , 858 439 11 800 59052.12 39 , 808 378 153 746 60345.3 53 , 833 313 11 772 56819.61 54 , 820 268 610 757 49414.9051 57 , 835 282 177 775 55962.23 35 , 910 252 285 848 56712.23 43 , 1018 30 0 932 64359.54 52 , 941 27 447 868 62259.56 70 , 0 24 383 0 0 0 , 
Peking University, 750 244 38 672 53336.18 73 , 793 462 39 702 61337.1 70 , 737 347 35 674 71870.036 47 , 744 232 42 677 68139.07 56 , 728 228 67 648 64313.3333 63 , 735 266 36 665 57228.03 44 , 699 185 21 632 59017.47 49 , 775 40 28 699 80164.21 59 , 786 28 34 698 97106.4215 86 , 0 18 10 0 0 0 , 
Sun Yat-sen University, 543 191 2 506 27007.65 36 , 609 397 6 566 41906.6 34 , 600 329 12 548 36414.6 49 , 553 254 443 506 39727.65 44 , 632 234 427 575 39368.77 54 , 760 259 5 688 39044.26 52 , 960 302 0 874 50470.21 66 , 988 55 0 895 56125.91 77 , 1092 49 405 1002 48572.7 87 , 0 65 372 0 0 0 , 
Shanghai Jiao Tong University, 849 145 76 811 46244.84 33 , 993 359 102 962 64086.12 20 , 932 265 21 902 65608.61 26 , 930 156 29 883 64034.3 40 , 987 167 134 952 56013.4648 31 , 1022 155 37 968 61671.58 30 , 1166 156 68 1112 66969.11 33 , 1141 29 68 1079 65411.6 39 , 1258 19 119 1219 71125.58 36 , 0 14 0 0 0 0 , 
Fudan University, 620 193 53 550 29110.4 68 , 648 423 39 578 37126.3 61 , 640 313 11 596 38414.75 37 , 639 257 34 597 52672.7 40 , 677 259 87 622 39315.4801 48 , 667 274 21 603 37374.66 36 , 767 223 31 706 54648.23 47 , 778 45 29 707 47034.95 62 , 794 33 48 743 45245.28 51 , 0 48 0 0 0 0 , 
Shandong University, 435 145 12 393 19353.5 42 , 459 345 12 409 25568.42 45 , 455 266 15 416 27446.89 38 , 467 240 123 410 26825.7 56 , 475 226 153 426 21106.41 46 , 444 202 7 425 20116 19 , 543 230 241 477 25890.16 55 , 487 33 30 422 25407.01 55 , 587 33 33 512 24730.9 73 , 0 40 4 0 0 0 , 
Huazhong University of Science & Technology, 572 131 2 547 28404.9 23 , 598 329 5 570 35651.4 19 , 605 222 32 585 36530.01 17 , 605 123 83 587 39204.85 16 , 694 159 115 673 34207.0534 18 , 656 148 141 622 35723.41 21 , 785 150 160 756 46925.7 19 , 800 20 0 758 55331.7 27 , 788 29 170 744 41307.09 42 , 0 42 0 0 0 0 , 
Xi'an Jiaotong University, 449 113 3 430 22724.39 18 , 446 313 5 422 27313.9 21 , 404 217 5 378 28528.4 23 , 405 164 6 379 24122 25 , 439 185 33 409 21503.2 27 , 485 203 7 463 24886.95 16 , 560 256 0 516 35850.19 32 , 548 30 0 509 50037.8225 29 , 520 31 8 486 24130.34 33 , 0 20 0 0 0 0 , 
Southeast University - China, 266 92 6 252 12399.8 14 , 293 305 4 273 16515.3 15 , 304 202 2 285 17473.6 18 , 235 200 3 219 16025.23 14 , 357 176 24 323 20329.4627 33 , 338 175 5 305 17636.13 26 , 328 175 0 282 16993 37 , 337 15 0 301 20836.49 23 , 329 8 0 294 17650.88 35 , 0 23 0 0 0 0 , 
Beihang University, 283 58 22 274 19542.5 7 , 279 255 24 269 30927.36 5 , 247 157 28 238 16259.1 8 , 237 150 23 221 20739.6 13 , 257 196 35 253 18150.8 4 , 275 184 18 266 19110.54 5 , 281 180 17 269 23105.43 6 , 319 11 23 303 34823.81 9 , 315 3 31 305 20670.86 9 , 0 11 2 0 0 0 , 
Harbin Institute of Technology, 418 78 3 415 20493.7 2 , 403 289 2 394 21203.8 5 , 378 180 6 371 22963.3 6 , 324 134 19 320 21643.5 4 , 356 141 35 354 21417.6 1 , 376 142 2 367 25285.63 7 , 362 155 17 345 23072.15 7 , 375 7 0 363 23961.51 6 , 336 6 76 325 19854.41 11 , 0 12 16 0 0 0 , 
Tongji University, 406 83 46 388 18849.6 14 , 483 267 34 451 30682.6 20 , 443 186 12 423 26376.8 16 , 420 165 20 393 25066.75 25 , 457 186 97 436 25533.5994 20 , 458 183 15 443 24668.01 8 , 566 197 30 533 34032.03 21 , 552 29 25 512 30165.14 19 , 537 17 37 504 30063.51 33 , 0 22 0 0 0 0 , 
Wuhan University, 464 158 9 409 22993.2 51 , 497 358 6 433 28476.62 56 , 478 295 56 417 26990.55 59 , 411 266 91 356 24384 53 , 493 237 119 435 25577.91 56 , 438 287 113 404 23827.15 28 , 538 266 130 468 35797.17 63 , 549 52 0 477 33742.72 62 , 515 40 103 433 24843.26 81 , 0 68 1 0 0 0 , 
Sichuan University, 432 132 7 393 24230.7 39 , 460 367 2 410 25209.1 42 , 440 270 1 383 23842.6 51 , 453 247 1 412 25419.41 41 , 466 250 25 428 22599.68 36 , 451 280 4 397 23190.07 47 , 544 475 0 467 23740.3 62 , 595 31 0 505 40529.93 82 , 590 36 0 509 27904.26 81 , 0 36 0 0 0 0 , 
Northwestern Polytechnical University, 154 43 3 152 7212.5 2 , 155 248 0 152 8957 2 , 156 162 5 151 13229.28 5 , 184 144 3 181 12321.5 3 , 195 362 16 192 11017.8 3 , 214 412 2 206 10604.5 5 , 236 416 0 231 15201.9 3 , 280 6 0 269 14962.9 10 , 296 8 7 287 14884.75 9 , 0 14 0 0 0 0 , 
Jilin University, 405 169 2 357 18647.9 47 , 404 408 2 346 29643.56 53 , 399 145 2 343 22530.63 47 , 367 399 3 322 21416.57 44 , 405 483 16 348 20313.25 51 , 370 492 1 328 18762.9 36 , 403 441 0 356 20399.1 41 , 399 32 0 336 20916.5 55 , 371 23 0 311 17947.76 59 , 0 38 0 0 0 0 , 
Beijing Normal University, 256 152 9 191 14548.6 64 , 227 364 12 164 12472 53 , 234 237 7 172 12367.64 57 , 210 284 22 150 13555.3 55 , 231 242 38 182 12651.67 47 , 210 236 6 172 12320.41 32 , 241 234 10 177 13929.4 56 , 243 50 13 172 11867.9 67 , 248 44 8 181 12612.49 66 , 0 49 0 0 0 0 , 
Central South University, 362 110 4 342 16039 17 , 399 276 5 376 22240 16 , 461 231 4 438 32129.7 23 , 434 170 3 402 22062.9 28 , 455 393 8 426 20405 24 , 441 606 140 420 21346.73 17 , 470 582 258 444 22683.7 22 , 535 11 31 510 26420.41 19 , 532 9 187 511 26810.45 21 , 0 14 27 0 0 0 , 
