基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,11,2,0,0,0
2019,315,3,31,305,20670.86,9
2018,319,11,23,303,34823.81,9
2017,281,180,17,269,23105.43,6
2016,275,184,18,266,19110.54,5
2015,257,196,35,253,18150.8,4
2014,237,150,23,221,20739.6,13
2013,247,157,28,238,16259.1,8
2012,279,255,24,269,30927.36,5
2011,283,58,22,274,19542.5,7
2010,208,62,38,197,6677.4,2
2009,174,69,13,169,6495.3,4
2008,142,50,7,139,4493,3
2007,120,38,4,118,3960.05,0
2006,146,11,3,101,3056.41,1
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
