基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,49,0,0,0,0
2019,248,44,8,181,12612.49,66
2018,243,50,13,172,11867.9,67
2017,241,234,10,177,13929.4,56
2016,210,236,6,172,12320.41,32
2015,231,242,38,182,12651.67,47
2014,210,284,22,150,13555.3,55
2013,234,237,7,172,12367.64,57
2012,227,364,12,164,12472,53
2011,256,152,9,191,14548.6,64
2010,211,187,19,163,6450.2,41
2009,154,147,18,130,4638,24
2008,154,194,14,130,5145.2,24
2007,153,138,9,129,4344.8,22
2006,155,130,8,117,3822.6,26
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
