基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,14,27,0,0,0
2019,532,9,187,511,26810.45,21
2018,535,11,31,510,26420.41,19
2017,470,582,258,444,22683.7,22
2016,441,606,140,420,21346.73,17
2015,455,393,8,426,20405,24
2014,434,170,3,402,22062.9,28
2013,461,231,4,438,32129.7,23
2012,399,276,5,376,22240,16
2011,362,110,4,342,16039,17
2010,282,100,13,259,7875.7,14
2009,179,89,3,174,5781,5
2008,204,87,3,191,6243,11
2007,153,125,1,143,4510,9
2006,168,108,2,133,4142.5,11
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
