基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,48,0,0,0,0
2019,794,33,48,743,45245.28,51
2018,778,45,29,707,47034.95,62
2017,767,223,31,706,54648.23,47
2016,667,274,21,603,37374.66,36
2015,677,259,87,622,39315.4801,48
2014,639,257,34,597,52672.7,40
2013,640,313,11,596,38414.75,37
2012,648,423,39,578,37126.3,61
2011,620,193,53,550,29110.4,68
2010,544,195,118,479,17362.9,38
2009,389,199,28,353,14873.7,30
2008,367,276,1,329,14527.63,29
2007,353,363,1,282,9227.5,68
2006,363,395,3,270,9512.95,74
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
