基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,12,16,0,0,0
2019,336,6,76,325,19854.41,11
2018,375,7,0,363,23961.51,6
2017,362,155,17,345,23072.15,7
2016,376,142,2,367,25285.63,7
2015,356,141,35,354,21417.6,1
2014,324,134,19,320,21643.5,4
2013,378,180,6,371,22963.3,6
2012,403,289,2,394,21203.8,5
2011,418,78,3,415,20493.7,2
2010,324,97,18,319,11260.6,4
2009,224,76,1,223,6924.1,1
2008,199,46,1,197,7974,0
2007,165,49,5,163,5216.3,2
2006,188,33,0,143,3822.1,0
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
