基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,42,0,0,0,0
2019,788,29,170,744,41307.09,42
2018,800,20,0,758,55331.7,27
2017,785,150,160,756,46925.7,19
2016,656,148,141,622,35723.41,21
2015,694,159,115,673,34207.0534,18
2014,605,123,83,587,39204.85,16
2013,605,222,32,585,36530.01,17
2012,598,329,5,570,35651.4,19
2011,572,131,2,547,28404.9,23
2010,473,137,19,439,15537.1,19
2009,401,151,3,388,13069.8,12
2008,373,117,2,355,10696.7,15
2007,290,294,1,276,7801.7,12
2006,297,282,0,240,6261.45,16
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
