基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,38,0,0,0,0
2019,371,23,0,311,17947.76,59
2018,399,32,0,336,20916.5,55
2017,403,441,0,356,20399.1,41
2016,370,492,1,328,18762.9,36
2015,405,483,16,348,20313.25,51
2014,367,399,3,322,21416.57,44
2013,399,145,2,343,22530.63,47
2012,404,408,2,346,29643.56,53
2011,405,169,2,357,18647.9,47
2010,346,209,2,304,11345.96,39
2009,281,158,2,260,9226.6,20
2008,216,125,0,195,6156.5,20
2007,179,330,0,160,5494,19
2006,197,453,0,154,5116.8,18
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
