基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,14,0,0,0,0
2019,296,8,7,287,14884.75,9
2018,280,6,0,269,14962.9,10
2017,236,416,0,231,15201.9,3
2016,214,412,2,206,10604.5,5
2015,195,362,16,192,11017.8,3
2014,184,144,3,181,12321.5,3
2013,156,162,5,151,13229.28,5
2012,155,248,0,152,8957,2
2011,154,43,3,152,7212.5,2
2010,111,44,2,105,3484.6,4
2009,90,45,0,89,3379.5,1
2008,84,24,2,84,3039,0
2007,73,49,0,71,2565.6,2
2006,66,22,0,46,1352,2
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
