基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,18,10,0,0,0
2019,786,28,34,698,97106.4215,86
2018,775,40,28,699,80164.21,59
2017,699,185,21,632,59017.47,49
2016,735,266,36,665,57228.03,44
2015,728,228,67,648,64313.3333,63
2014,744,232,42,677,68139.07,56
2013,737,347,35,674,71870.036,47
2012,793,462,39,702,61337.1,70
2011,750,244,38,672,53336.18,73
2010,742,276,50,615,31078.54,80
2009,554,320,27,513,23814.3,37
2008,475,200,17,447,23206.2,24
2007,466,176,24,428,18798.39,31
2006,494,171,25,409,17094.21,25
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
