基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,40,4,0,0,0
2019,587,33,33,512,24730.9,73
2018,487,33,30,422,25407.01,55
2017,543,230,241,477,25890.16,55
2016,444,202,7,425,20116,19
2015,475,226,153,426,21106.41,46
2014,467,240,123,410,26825.7,56
2013,455,266,15,416,27446.89,38
2012,459,345,12,409,25568.42,45
2011,435,145,12,393,19353.5,42
2010,348,147,28,305,11932.1,34
2009,239,137,3,227,7956.2,10
2008,225,102,2,213,6874,11
2007,168,201,0,150,5476.2,17
2006,188,254,0,140,4543.95,30
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
