基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,14,0,0,0,0
2019,1258,19,119,1219,71125.58,36
2018,1141,29,68,1079,65411.6,39
2017,1166,156,68,1112,66969.11,33
2016,1022,155,37,968,61671.58,30
2015,987,167,134,952,56013.4648,31
2014,930,156,29,883,64034.3,40
2013,932,265,21,902,65608.61,26
2012,993,359,102,962,64086.12,20
2011,849,145,76,811,46244.84,33
2010,724,176,126,689,24863.1,18
2009,489,135,69,472,15023.1,14
2008,460,89,4,444,16627.37,14
2007,363,238,5,347,11002.5,11
2006,425,253,1,334,9913.81,13
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
