基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,36,0,0,0,0
2019,590,36,0,509,27904.26,81
2018,595,31,0,505,40529.93,82
2017,544,475,0,467,23740.3,62
2016,451,280,4,397,23190.07,47
2015,466,250,25,428,22599.68,36
2014,453,247,1,412,25419.41,41
2013,440,270,1,383,23842.6,51
2012,460,367,2,410,25209.1,42
2011,432,132,7,393,24230.7,39
2010,369,159,2,334,12098.9,23
2009,316,149,3,290,8766,25
2008,296,93,0,266,10814,27
2007,231,516,1,196,6162.9,34
2006,178,497,0,147,4288.5,16
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
