基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,23,0,0,0,0
2019,329,8,0,294,17650.88,35
2018,337,15,0,301,20836.49,23
2017,328,175,0,282,16993,37
2016,338,175,5,305,17636.13,26
2015,357,176,24,323,20329.4627,33
2014,235,200,3,219,16025.23,14
2013,304,202,2,285,17473.6,18
2012,293,305,4,273,16515.3,15
2011,266,92,6,252,12399.8,14
2010,273,138,8,252,7330.6,9
2009,210,109,2,200,8232.6,9
2008,152,59,3,145,4185,7
2007,108,54,1,98,3111.7,8
2006,119,23,0,92,2923.3,3
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
