基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,65,372,0,0,0
2019,1092,49,405,1002,48572.7,87
2018,988,55,0,895,56125.91,77
2017,960,302,0,874,50470.21,66
2016,760,259,5,688,39044.26,52
2015,632,234,427,575,39368.77,54
2014,553,254,443,506,39727.65,44
2013,600,329,12,548,36414.6,49
2012,609,397,6,566,41906.6,34
2011,543,191,2,506,27007.65,36
2010,501,224,4,441,15803.8,38
2009,349,203,6,331,11545.3,18
2008,355,121,1,323,11762.1,30
2007,258,523,195,231,9209.2,22
2006,253,296,3,218,7472.95,18
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
