基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,22,0,0,0,0
2019,537,17,37,504,30063.51,33
2018,552,29,25,512,30165.14,19
2017,566,197,30,533,34032.03,21
2016,458,183,15,443,24668.01,8
2015,457,186,97,436,25533.5994,20
2014,420,165,20,393,25066.75,25
2013,443,186,12,423,26376.8,16
2012,483,267,34,451,30682.6,20
2011,406,83,46,388,18849.6,14
2010,308,95,76,282,12697.5,8
2009,206,65,21,201,6505.5,5
2008,175,62,3,169,5685,5
2007,137,188,2,134,4034.1,2
2006,168,198,1,129,4892.45,9
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
