基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,18,8,0,0,0
2019,592,27,25,549,51717.5118,42
2018,696,50,29,594,63896.69,56
2017,736,173,24,651,81129.4,51
2016,649,159,37,591,65554.24,27
2015,627,178,64,575,55615.0897,42
2014,618,172,48,567,72155.2,42
2013,637,238,31,591,68878.55,31
2012,664,336,21,606,56488.29,34
2011,646,125,16,616,45090.7,25
2010,578,147,29,516,29748.832,27
2009,494,169,20,474,21681.5,13
2008,434,131,16,416,19335.91,14
2007,427,101,18,405,16612.25,17
2006,521,117,8,400,16111.09,16
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
