基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,68,1,0,0,0
2019,515,40,103,433,24843.26,81
2018,549,52,0,477,33742.72,62
2017,538,266,130,468,35797.17,63
2016,438,287,113,404,23827.15,28
2015,493,237,119,435,25577.91,56
2014,411,266,91,356,24384,53
2013,478,295,56,417,26990.55,59
2012,497,358,6,433,28476.62,56
2011,464,158,9,409,22993.2,51
2010,411,187,25,344,12154.3,52
2009,324,223,14,291,10364.1,33
2008,262,158,8,226,8484.45,34
2007,265,130,6,233,7561.6,28
2006,266,113,6,213,6288.3,22
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
