基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,20,0,0,0,0
2019,520,31,8,486,24130.34,33
2018,548,30,0,509,50037.8225,29
2017,560,256,0,516,35850.19,32
2016,485,203,7,463,24886.95,16
2015,439,185,33,409,21503.2,27
2014,405,164,6,379,24122,25
2013,404,217,5,378,28528.4,23
2012,446,313,5,422,27313.9,21
2011,449,113,3,430,22724.39,18
2010,301,112,1,279,9148.5,14
2009,260,110,3,244,9060.7,14
2008,209,75,3,196,7359.3,12
2007,192,228,0,173,4972.85,18
2006,206,165,0,153,4740.8,9
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
