基金统计表,,,,,,
批准年,国家级基金数量,部委级基金数量,省级基金数量,国家自然科学基金数量,国家自然科学基金资助金额（万元）,国家社会科学基金数量
2020,0,24,383,0,0,0
2019,941,27,447,868,62259.56,70
2018,1018,30,0,932,64359.54,52
2017,910,252,285,848,56712.23,43
2016,835,282,177,775,55962.23,35
2015,820,268,610,757,49414.9051,57
2014,833,313,11,772,56819.61,54
2013,808,378,153,746,60345.3,53
2012,858,439,11,800,59052.12,39
2011,773,219,220,723,42038.17,46
2010,667,294,249,611,24644.6,38
2009,514,207,3,492,16243,19
2008,524,126,4,489,17538.72,29
2007,455,123,2,424,14147.7,27
2006,459,123,1,350,11258.65,23
统计说明：,,,,,,
? 基金项目：来源于国家自然科学基金委员会、全国哲学社会科学规划办公室及各个国家部委、省部委发布数据，共计649种基金项目。,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将基金项目划分为13个学科门类。,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,
