SchoolName, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 
Beijing Institute of Technology, 26 19 0.7 1386 53 3 23 , 19 14 0.7 1080 56 1 17 , 16 3 0.2 696 43 3 13 , 22 21 1 1695 77 4 18 , 23 13 0.6 899 39 4 19 , 26 17 0.7 1680 64 0 23 , 23 8 0.3 1607 69 7 13 , 23 11 0.5 1061 46 3 16 , 17 4 0.2 2598 152 2 14 , 13 3 0.2 1444 111 2 9 , 
Tsinghua University, 400 472 1.2 36593 91 80 281 , 358 315 0.9 37791 105 85 267 , 423 330 0.8 43014 101 100 323 , 440 542 1.2 49461 112 108 330 , 519 509 1 45317 87 116 399 , 537 351 0.7 50384 93 131 403 , 353 262 0.7 39010 110 113 234 , 340 180 0.5 37971 111 111 214 , 397 183 0.5 58386 147 101 246 , 304 62 0.2 46652 153 88 174 , 
Zhejiang University, 152 44 0.3 6663 43 55 96 , 136 71 0.5 7863 57 26 108 , 148 122 0.8 9330 63 27 121 , 159 108 0.7 9207 57 37 121 , 183 116 0.6 10160 55 46 132 , 171 67 0.4 9859 57 53 118 , 173 110 0.6 11450 66 65 105 , 160 103 0.6 15211 95 55 89 , 215 36 0.2 21943 102 77 123 , 103 2 0 11798 114 37 55 , 
Peking University, 667 477 0.7 59037 88 183 478 , 752 524 0.7 70128 93 239 498 , 724 612 0.8 81313 112 236 488 , 746 651 0.9 82917 111 224 517 , 850 813 1 95413 112 276 559 , 811 460 0.6 94152 116 251 558 , 599 435 0.7 70233 117 245 350 , 643 393 0.6 76361 118 226 384 , 612 234 0.4 88635 144 168 372 , 421 52 0.1 65129 154 124 231 , 
Sun Yat-sen University, 201 104 0.5 13586 67 114 87 , 103 29 0.3 8597 83 42 61 , 113 50 0.4 14935 132 38 75 , 135 92 0.7 18682 138 60 75 , 198 95 0.5 16254 82 85 112 , 138 71 0.5 10655 77 46 91 , 112 43 0.4 8913 79 41 70 , 133 47 0.4 9057 68 37 91 , 106 28 0.3 9556 90 37 65 , 70 8 0.1 5056 72 25 44 , 
Shanghai Jiao Tong University, 168 73 0.4 8381 49 94 60 , 128 95 0.7 7270 56 65 58 , 165 64 0.4 9493 57 106 59 , 163 215 1.3 14228 87 95 67 , 222 151 0.7 14105 63 146 71 , 185 53 0.3 11322 61 100 84 , 166 69 0.4 13344 80 109 55 , 136 92 0.7 9644 70 80 55 , 111 40 0.4 13066 117 50 56 , 99 21 0.2 13237 133 54 39 , 
Fudan University, 453 173 0.4 32677 72 246 205 , 388 190 0.5 31233 80 215 171 , 439 279 0.6 44882 102 214 225 , 533 290 0.5 49390 92 289 244 , 504 366 0.7 45823 90 256 244 , 535 203 0.4 50869 95 308 227 , 393 255 0.6 38846 98 245 146 , 426 238 0.6 46016 108 226 144 , 367 85 0.2 42018 114 141 129 , 268 19 0.1 38164 142 92 107 , 
Shandong University, 63 41 0.7 4405 69 14 47 , 92 155 1.7 9024 98 30 62 , 81 52 0.6 7487 92 19 62 , 99 120 1.2 9679 97 36 63 , 98 86 0.9 7647 78 21 77 , 89 52 0.6 6671 74 25 64 , 89 53 0.6 5253 59 34 55 , 84 44 0.5 4785 56 38 45 , 113 23 0.2 8039 71 54 56 , 98 2 0 7856 80 30 63 , 
Huazhong University of Science & Technology, 91 54 0.6 4853 53 20 65 , 76 43 0.6 4875 64 22 52 , 99 63 0.6 7401 74 32 67 , 91 64 0.7 6802 74 30 61 , 92 76 0.8 6094 66 30 62 , 86 53 0.6 5697 66 30 56 , 71 63 0.9 7342 103 28 42 , 45 28 0.6 4273 94 14 29 , 51 25 0.5 6194 121 16 30 , 40 3 0.1 4452 111 7 27 , 
Xi'an Jiaotong University, 29 19 0.7 1914 66 7 19 , 42 30 0.7 1644 39 13 26 , 26 45 1.7 1880 72 8 18 , 47 84 1.8 3867 82 15 32 , 52 34 0.7 2821 54 18 32 , 74 38 0.5 4247 57 31 43 , 75 38 0.5 5071 67 32 37 , 103 59 0.6 8316 80 44 57 , 105 22 0.2 10720 102 44 58 , 49 4 0.1 6520 133 13 32 , 
Southeast University - China, 20 42 2.1 2821 141 6 14 , 27 12 0.4 2081 77 11 15 , 52 42 0.8 3121 60 7 45 , 49 38 0.8 3391 69 17 32 , 35 42 1.2 2845 81 11 24 , 48 31 0.6 3251 67 11 37 , 31 27 0.9 2143 69 17 14 , 56 29 0.5 5172 92 19 37 , 55 25 0.5 6803 123 15 39 , 36 5 0.1 3967 110 6 29 , 
Beihang University, 39 13 0.3 2383 61 1 38 , 28 4 0.1 1357 48 0 28 , 25 8 0.3 1420 56 4 21 , 42 11 0.3 2776 66 6 36 , 46 37 0.8 3110 67 6 40 , 46 18 0.4 2468 53 7 39 , 37 35 0.9 3076 83 5 31 , 27 17 0.6 2409 89 2 19 , 50 27 0.5 6218 124 9 33 , 28 2 0.1 2473 88 5 23 , 
