报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,28,2,0.1,2473,88,5,23
2019,50,27,0.5,6218,124,9,33
2018,27,17,0.6,2409,89,2,19
2017,37,35,0.9,3076,83,5,31
2016,46,18,0.4,2468,53,7,39
2015,46,37,0.8,3110,67,6,40
2014,42,11,0.3,2776,66,6,36
2013,25,8,0.3,1420,56,4,21
2012,28,4,0.1,1357,48,0,28
2011,39,13,0.3,2383,61,1,38
2010,50,13,0.3,1727,34,8,42
2009,68,24,0.4,2640,38,40,28
2008,8,0,0,219,27,1,7
2007,1,0,0,3,3,0,1
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
