报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,13,3,0.2,1444,111,2,9
2019,17,4,0.2,2598,152,2,14
2018,23,11,0.5,1061,46,3,16
2017,23,8,0.3,1607,69,7,13
2016,26,17,0.7,1680,64,0,23
2015,23,13,0.6,899,39,4,19
2014,22,21,1,1695,77,4,18
2013,16,3,0.2,696,43,3,13
2012,19,14,0.7,1080,56,1,17
2011,26,19,0.7,1386,53,3,23
2010,33,21,0.6,1338,40,4,27
2009,21,6,0.3,867,41,7,14
2008,5,0,0,60,12,2,3
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
