报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,180,18,0.1,27082,150,25,145
2019,311,161,0.5,44545,143,33,265
2018,364,237,0.7,40303,110,60,299
2017,319,352,1.1,39001,122,56,261
2016,436,353,0.8,49944,114,58,378
2015,495,606,1.2,51949,104,85,408
2014,348,352,1,39724,114,48,299
2013,304,259,0.9,33754,111,59,245
2012,277,372,1.3,30973,111,64,212
2011,273,330,1.2,26326,96,41,226
2010,294,252,0.9,23865,81,39,255
2009,246,246,1,20326,82,56,190
2008,43,31,0.7,2200,51,11,32
2007,4,1,0.3,13,3,0,4
2006,1,0,0,1,1,0,1
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
