报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,21,3,0.1,3055,145,6,13
2019,32,7,0.2,3377,105,11,15
2018,29,14,0.5,2854,98,7,20
2017,39,20,0.5,2683,68,15,23
2016,54,33,0.6,4830,89,16,38
2015,36,44,1.2,3868,107,13,23
2014,38,45,1.2,4985,131,10,28
2013,37,97,2.6,4441,120,5,32
2012,46,30,0.7,3497,76,10,36
2011,38,29,0.8,2792,73,9,28
2010,31,39,1.3,1698,54,9,22
2009,22,35,1.6,1221,55,6,16
2008,3,0,0,86,28,1,2
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
