报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,268,19,0.1,38164,142,92,107
2019,367,85,0.2,42018,114,141,129
2018,426,238,0.6,46016,108,226,144
2017,393,255,0.6,38846,98,245,146
2016,535,203,0.4,50869,95,308,227
2015,504,366,0.7,45823,90,256,244
2014,533,290,0.5,49390,92,289,244
2013,439,279,0.6,44882,102,214,225
2012,388,190,0.5,31233,80,215,171
2011,453,173,0.4,32677,72,246,205
2010,569,284,0.5,32986,57,299,270
2009,446,261,0.6,21806,48,294,152
2008,72,8,0.1,2010,27,54,18
2007,2,0,0,331,165,1,1
2006,1,0,0,28,28,1,0
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
