报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,27,2,0.1,2842,105,18,6
2019,22,4,0.2,2020,91,15,5
2018,21,12,0.6,2515,119,13,8
2017,18,1,0.1,419,23,9,9
2016,25,3,0.1,936,37,18,7
2015,30,11,0.4,1668,55,18,12
2014,23,10,0.4,986,42,13,10
2013,12,3,0.3,342,28,9,3
2012,13,5,0.4,409,31,6,7
2011,10,5,0.5,352,35,3,7
2010,13,14,1.1,776,59,6,7
2009,25,6,0.2,742,29,9,16
2008,4,2,0.5,343,85,1,3
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
