报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,40,3,0.1,4452,111,7,27
2019,51,25,0.5,6194,121,16,30
2018,45,28,0.6,4273,94,14,29
2017,71,63,0.9,7342,103,28,42
2016,86,53,0.6,5697,66,30,56
2015,92,76,0.8,6094,66,30,62
2014,91,64,0.7,6802,74,30,61
2013,99,63,0.6,7401,74,32,67
2012,76,43,0.6,4875,64,22,52
2011,91,54,0.6,4853,53,20,65
2010,82,68,0.8,3656,44,22,60
2009,107,81,0.8,5449,50,42,65
2008,17,11,0.6,562,33,9,8
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
