报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,80,5,0.1,9756,121,24,53
2019,143,46,0.3,17619,123,9,123
2018,150,50,0.3,13935,92,29,117
2017,152,61,0.4,10073,66,38,114
2016,160,44,0.3,12365,77,30,130
2015,162,137,0.8,12549,77,47,114
2014,145,103,0.7,10608,73,63,82
2013,122,117,1,11438,93,65,57
2012,108,64,0.6,7107,65,55,53
2011,81,93,1.1,8105,100,16,64
2010,70,75,1.1,4839,69,21,49
2009,43,123,2.9,4650,108,14,29
2008,7,7,1,165,23,4,3
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
