报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,22,0,0,1772,80,6,15
2019,57,13,0.2,5877,103,33,21
2018,27,6,0.2,1205,44,14,12
2017,10,4,0.4,461,46,7,3
2016,5,1,0.2,350,70,2,3
2015,2,0,0,46,23,1,1
2014,6,2,0.3,394,65,4,2
2013,4,7,1.8,990,247,1,3
2012,3,0,0,152,50,1,2
2011,4,12,3,403,100,1,3
2009,7,3,0.4,292,41,0,7
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
