报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,421,52,0.1,65129,154,124,231
2019,612,234,0.4,88635,144,168,372
2018,643,393,0.6,76361,118,226,384
2017,599,435,0.7,70233,117,245,350
2016,811,460,0.6,94152,116,251,558
2015,850,813,1,95413,112,276,559
2014,746,651,0.9,82917,111,224,517
2013,724,612,0.8,81313,112,236,488
2012,752,524,0.7,70128,93,239,498
2011,667,477,0.7,59037,88,183,478
2010,713,446,0.6,59149,82,176,536
2009,534,323,0.6,46403,86,160,373
2008,114,29,0.3,5903,51,42,72
2007,12,1,0.1,695,57,3,9
2006,3,0,0,79,26,2,1
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
