报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,98,2,0,7856,80,30,63
2019,113,23,0.2,8039,71,54,56
2018,84,44,0.5,4785,56,38,45
2017,89,53,0.6,5253,59,34,55
2016,89,52,0.6,6671,74,25,64
2015,98,86,0.9,7647,78,21,77
2014,99,120,1.2,9679,97,36,63
2013,81,52,0.6,7487,92,19,62
2012,92,155,1.7,9024,98,30,62
2011,63,41,0.7,4405,69,14,47
2010,80,45,0.6,5923,74,19,61
2009,42,21,0.5,2942,70,13,29
2008,9,0,0,351,39,4,5
2007,1,0,0,1,1,0,1
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
