报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,70,5,0.1,5204,74,25,42
2019,98,51,0.5,16233,165,33,55
2018,87,46,0.5,7275,83,36,50
2017,89,57,0.6,7518,84,39,49
2016,125,70,0.6,10236,81,50,75
2015,110,137,1.2,9333,84,38,69
2014,96,77,0.8,7874,82,27,69
2013,74,56,0.8,7491,101,17,57
2012,66,47,0.7,4858,73,20,46
2011,73,76,1,5516,75,24,47
2010,71,62,0.9,5141,72,22,49
2009,64,43,0.7,4282,66,17,47
2008,14,1,0.1,419,29,5,9
2006,1,0,0,0,0,0,1
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
