报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,36,5,0.1,3967,110,6,29
2019,55,25,0.5,6803,123,15,39
2018,56,29,0.5,5172,92,19,37
2017,31,27,0.9,2143,69,17,14
2016,48,31,0.6,3251,67,11,37
2015,35,42,1.2,2845,81,11,24
2014,49,38,0.8,3391,69,17,32
2013,52,42,0.8,3121,60,7,45
2012,27,12,0.4,2081,77,11,15
2011,20,42,2.1,2821,141,6,14
2010,20,20,1,1196,59,6,14
2009,14,3,0.2,901,64,3,11
2008,2,0,0,29,14,0,2
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
