报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,70,8,0.1,5056,72,25,44
2019,106,28,0.3,9556,90,37,65
2018,133,47,0.4,9057,68,37,91
2017,112,43,0.4,8913,79,41,70
2016,138,71,0.5,10655,77,46,91
2015,198,95,0.5,16254,82,85,112
2014,135,92,0.7,18682,138,60,75
2013,113,50,0.4,14935,132,38,75
2012,103,29,0.3,8597,83,42,61
2011,201,104,0.5,13586,67,114,87
2010,182,103,0.6,11227,61,96,86
2009,115,58,0.5,7639,66,59,56
2008,10,4,0.4,689,68,7,3
2007,3,15,5,318,106,2,1
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
