报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,83,27,0.3,9588,115,30,30
2019,129,40,0.3,13457,104,54,48
2018,165,72,0.4,12263,74,93,69
2017,156,106,0.7,13082,83,87,69
2016,162,49,0.3,10456,64,87,75
2015,144,138,1,11592,80,72,72
2014,103,57,0.6,6967,67,64,39
2013,127,64,0.5,10140,79,62,65
2012,96,36,0.4,5639,58,52,44
2011,75,80,1.1,4232,56,38,36
2010,95,42,0.4,4280,45,35,59
2009,94,66,0.7,4118,43,46,48
2008,20,8,0.4,395,19,8,12
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
