报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,304,62,0.2,46652,153,88,174
2019,397,183,0.5,58386,147,101,246
2018,340,180,0.5,37971,111,111,214
2017,353,262,0.7,39010,110,113,234
2016,537,351,0.7,50384,93,131,403
2015,519,509,1,45317,87,116,399
2014,440,542,1.2,49461,112,108,330
2013,423,330,0.8,43014,101,100,323
2012,358,315,0.9,37791,105,85,267
2011,400,472,1.2,36593,91,80,281
2010,426,317,0.7,33694,79,121,305
2009,344,224,0.7,30401,88,122,222
2008,54,30,0.6,3018,55,19,35
2007,5,1,0.2,375,75,1,4
2006,1,0,0,7,7,0,1
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
