报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,147,17,0.1,20365,138,49,83
2019,216,69,0.3,23366,108,76,112
2018,206,146,0.7,23681,114,68,120
2017,196,196,1,18425,94,72,122
2016,288,283,1,28920,100,66,222
2015,259,334,1.3,26072,100,56,201
2014,293,444,1.5,31744,108,53,238
2013,296,419,1.4,30861,104,76,220
2012,238,194,0.8,19353,81,63,174
2011,255,238,0.9,17473,68,53,202
2010,259,214,0.8,16812,64,49,210
2009,215,242,1.1,13681,63,50,165
2008,43,32,0.7,1734,40,12,31
2007,2,0,0,27,13,0,2
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
