报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,49,4,0.1,6520,133,13,32
2019,105,22,0.2,10720,102,44,58
2018,103,59,0.6,8316,80,44,57
2017,75,38,0.5,5071,67,32,37
2016,74,38,0.5,4247,57,31,43
2015,52,34,0.7,2821,54,18,32
2014,47,84,1.8,3867,82,15,32
2013,26,45,1.7,1880,72,8,18
2012,42,30,0.7,1644,39,13,26
2011,29,19,0.7,1914,66,7,19
2010,27,10,0.4,1114,41,7,19
2009,24,5,0.2,1021,42,16,8
2008,9,2,0.2,143,15,5,4
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
