报纸分析表,,,,,,,
发表年,报纸数量,被引频次,篇均被引,下载频次,篇均下载,地方级报纸,地方级报纸
2020,103,2,0,11798,114,37,55
2019,215,36,0.2,21943,102,77,123
2018,160,103,0.6,15211,95,55,89
2017,173,110,0.6,11450,66,65,105
2016,171,67,0.4,9859,57,53,118
2015,183,116,0.6,10160,55,46,132
2014,159,108,0.7,9207,57,37,121
2013,148,122,0.8,9330,63,27,121
2012,136,71,0.5,7863,57,26,108
2011,152,44,0.3,6663,43,55,96
2010,154,95,0.6,7056,45,47,107
2009,99,43,0.4,6023,60,34,65
2008,22,13,0.6,1479,67,10,12
统计说明：,,,,,,,
? 报纸：来源于中国知网旗下的《中国重要报纸全文数据库》，根据主管单位性质分为中央级报纸与地方级报纸。,,,,,,,
? 学科分类：以教育部2011年《学位授予和人才培养学科目录》与《中国图书馆图书分类法》（第五版）为基础，结合高校院系专业设置，将文献划分为13个学科门类、103个一级学科和359个二级学科。,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,
