SchoolName, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 
Beijing Institute of Technology, 1239 3475, 1246 3409, 1202 3548, 1206 3062, 1270 2855, 1227 2341, 1104 2227, 1039 1863, 1045 1317, 1225 682, 
Tsinghua University, 3029 13240, 2976 11738, 2848 11881, 2883 11941, 2947 10446, 2714 9541, 2665 7389, 2702 5935, 2643 4238, 2831 2035, 
Zhejiang University, 4699 14837, 4476 14918, 4481 13963, 4060 11709, 3924 10245, 3858 9114, 3799 8308, 3849 6840, 4070 5131, 4221 2401, 
Peking University, 3037 9987, 3028 9376, 3117 9581, 3161 9017, 3163 8270, 3258 7849, 3393 7421, 3360 5464, 3662 4174, 3820 2281, 
Sun Yat-sen University, 2265 5632, 2043 4566, 2007 4443, 1825 3936, 1676 4153, 1641 3507, 1657 3327, 1698 2998, 1720 2058, 1974 1179, 
Shanghai Jiao Tong University, 1354 3987, 1417 4277, 1432 4230, 1756 4113, 1911 4812, 2114 4420, 2360 4196, 2581 4052, 2609 2653, 2869 1564, 
Fudan University, 2057 4562, 1882 3691, 1850 3354, 1791 3064, 1666 3170, 1751 3025, 1855 2986, 1951 2929, 2020 1992, 2237 1441, 
Shandong University, 2432 6638, 2333 6383, 2135 6317, 2079 5582, 2166 5683, 2078 4666, 2113 4486, 2195 4375, 2453 3373, 2497 1660, 
Huazhong University of Science & Technology, 2468 5854, 2201 5338, 1957 5295, 1860 4485, 1740 4260, 1781 3776, 1731 3348, 1825 3207, 1871 2378, 2100 1636, 
Xi'an Jiaotong University, 1306 3089, 611 1220, 979 2654, 1316 3130, 1344 3689, 1305 2703, 1525 3035, 1629 2553, 1583 1746, 1612 808, 
Southeast University - China, 1642 4534, 1628 4355, 1577 4503, 1411 4061, 1438 3771, 1355 3423, 1405 2875, 1472 2494, 1509 1829, 1496 745, 
Beihang University, 1061 4038, 1042 3350, 903 2767, 1033 3375, 992 2858, 961 2423, 994 2118, 1036 1747, 1064 1399, 979 542, 
Harbin Institute of Technology, 2239 7197, 2081 6788, 1888 5753, 1679 5180, 1616 4216, 1582 3625, 1518 2747, 1573 2479, 1333 1526, 1438 686, 
Tongji University, 2367 7051, 2352 6616, 2306 6689, 2264 5764, 2108 4636, 2106 4589, 2047 3734, 2045 2727, 1977 2015, 1978 898, 
Wuhan University, 2839 7873, 2902 8459, 2852 7381, 3187 8055, 3380 8547, 3524 7851, 3896 7859, 3928 6482, 3390 4139, 3653 2556, 
Sichuan University, 2944 6606, 2780 6364, 2719 5522, 2543 4704, 2459 4540, 2393 4542, 2432 3989, 2334 3375, 2284 2835, 2478 1328, 
Northwestern Polytechnical University, 2712 6090, 2387 5528, 2193 5303, 2039 4419, 1641 3603, 1345 2574, 1340 2300, 1323 2058, 1314 1354, 1222 586, 
Jilin University, 2471 6099, 2265 5602, 2142 5556, 2113 4675, 1969 4098, 1983 3522, 1769 3091, 1963 2803, 1709 1690, 1506 726, 
Beijing Normal University, 1069 5152, 999 4703, 1036 5073, 1011 5282, 970 4081, 970 4075, 885 3239, 987 3095, 1028 2144, 924 779, 
Central South University, 4189 10298, 3927 10184, 3573 8530, 3442 7957, 3272 7809, 3238 6529, 3091 5859, 3135 4386, 2894 3394, 2991 1736, 
