SchoolName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Beijing Institute of Technology, 175, 219, 173, 176, 187, 193, 172, 190, 191, 202, 223
Tsinghua University, 1066, 1102, 1068, 1221, 1315, 1194, 1236, 1302, 1375, 1459, 1553
Zhejiang University, 1041, 1033, 981, 1055, 1059, 1007, 991, 975, 1002, 1033, 1026
Peking University, 1975, 1946, 1967, 1865, 1926, 1884, 1887, 1906, 1928, 1925, 1956
Sun Yat-sen University, 1124, 1180, 1147, 1171, 1132, 1042, 1070, 1190, 1264, 1210, 1163
Shanghai Jiao Tong University, 553, 550, 597, 676, 705, 811, 778, 752, 776, 699, 777
Fudan University, 1474, 1455, 1322, 1164, 1123, 1047, 1034, 1121, 1177, 1184, 1199
Shandong University, 1130, 1163, 1191, 1190, 1253, 1295, 1179, 1087, 1072, 1054, 1107
Huazhong University of Science & Technology, 905, 831, 825, 809, 715, 722, 663, 645, 624, 585, 565
Xi'an Jiaotong University, 805, 800, 803, 809, 771, 813, 780, 726, 745, 693, 692
Southeast University - China, 532, 560, 566, 541, 624, 593, 516, 480, 511, 556, 513
Beihang University, 240, 247, 313, 278, 261, 273, 236, 289, 274, 260, 226
Harbin Institute of Technology, 211, 225, 202, 169, 188, 162, 132, 144, 149, 133, 123
Tongji University, 402, 426, 466, 458, 453, 484, 491, 506, 523, 543, 544
Wuhan University, 1607, 1521, 1551, 1590, 1887, 1824, 1913, 1876, 1871, 1837, 1619
Sichuan University, 1432, 1487, 1451, 1318, 1118, 1085, 1039, 964, 929, 842, 871
Northwestern Polytechnical University, 162, 132, 154, 110, 111, 88, 86, 93, 102, 104, 115
Jilin University, 1326, 1412, 1502, 1443, 1444, 1390, 1378, 1285, 1376, 1348, 1240
Beijing Normal University, 1824, 1772, 1797, 1747, 1732, 1677, 1736, 1671, 1753, 1768, 1626
Central South University, 625, 613, 639, 674, 586, 573, 593, 486, 469, 422, 356
