SchoolName, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 
Beijing Institute of Technology, 1144 34236, 1364 40730, 1670 44723, 2055 52780, 2303 59123, 2654 60714, 2957 58829, 3567 70486, 4496 60763, 5005 37022, 
Tsinghua University, 4689 188286, 5227 212582, 6274 234866, 6882 244015, 7960 263865, 8557 264732, 9459 269087, 10549 258985, 11739 188055, 12291 137088, 
Zhejiang University, 5594 190836, 6259 196640, 7192 217447, 8098 224535, 8377 232683, 9067 220914, 9755 208937, 11007 196011, 13378 168067, 15540 141329, 
Peking University, 4806 185681, 5562 219407, 6422 249478, 6873 234342, 7493 240517, 8140 233046, 8549 221245, 9461 192205, 11028 154461, 11401 96873, 
Sun Yat-sen University, 3195 114362, 3869 143815, 4395 142871, 4932 149988, 5557 161087, 6023 162926, 6967 161820, 8327 157791, 10498 137919, 12222 126144, 
Shanghai Jiao Tong University, 5085 164938, 5987 216697, 7109 212447, 8026 229560, 9044 235712, 9792 239163, 10731 230989, 11661 206072, 13934 174896, 15852 130088, 
Fudan University, 3786 148475, 4224 161932, 4963 169830, 5269 166322, 5962 179978, 6426 176395, 6978 163987, 7565 151192, 9202 126597, 10594 93831, 
Shandong University, 3052 80935, 3595 109430, 4135 106696, 4816 126990, 5666 125532, 6002 122233, 6227 109354, 6938 106214, 8116 88703, 8978 57238, 
Huazhong University of Science & Technology, 2929 84578, 3385 112768, 4144 124217, 4804 138605, 5505 153122, 6069 150898, 6837 158029, 7973 154375, 9590 134925, 11158 172176, 
Xi'an Jiaotong University, 2451 65507, 2812 79845, 3370 96002, 4166 108264, 4697 110475, 5527 124843, 6171 128807, 7094 119235, 8564 103528, 9741 67884, 
Southeast University - China, 1934 56665, 2211 64986, 2556 75072, 3186 87161, 3518 85438, 4005 91453, 4602 97444, 5434 94814, 6618 80751, 7301 49354, 
Beihang University, 1670 39366, 1871 43069, 2167 47023, 2683 62621, 3095 73950, 3349 78931, 4077 87112, 4739 82022, 5409 64774, 5307 32111, 
Harbin Institute of Technology, 2732 72217, 3185 81003, 3543 91753, 3937 100551, 4549 114031, 5173 116137, 5669 119487, 6822 119137, 7977 94053, 8446 55960, 
Tongji University, 1894 51632, 2440 71134, 2965 81079, 3591 94712, 4072 101685, 4496 102581, 4882 103654, 5392 94578, 6569 80799, 7474 50566, 
Wuhan University, 1951 65807, 2344 83585, 2859 82816, 3443 94769, 4018 120839, 4556 122992, 5439 126605, 6060 117145, 7581 98809, 8584 111842, 
Sichuan University, 3235 85241, 3798 96308, 4128 97967, 4907 119017, 5365 120058, 5707 124504, 6339 120816, 7475 120333, 9151 103130, 10558 84222, 
Northwestern Polytechnical University, 1061 21247, 1264 24347, 1472 29357, 1865 38122, 2244 48910, 2591 56623, 3070 58570, 4131 73747, 5213 67933, 5442 40572, 
Jilin University, 2854 74982, 3311 86434, 3841 105149, 4361 111948, 5052 113885, 5300 103884, 5863 109722, 6787 104253, 8208 92429, 8402 50725, 
Beijing Normal University, 1494 48655, 1563 50904, 1935 58409, 2121 55173, 2341 61682, 2379 58950, 2526 49611, 2966 48191, 3366 39115, 3575 25069, 
Central South University, 2212 59428, 2601 66814, 3201 79716, 3668 92070, 4446 119733, 5013 118031, 5878 127395, 7225 146445, 9533 130614, 10871 86330, 
