SchoolName, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 
Beijing Institute of Technology, 32 2191, 48 2027, 48 2187, 80 3147, 89 3582, 126 4314, 186 5213, 306 9297, 376 7001, 428 4849, 
Tsinghua University, 224 7685, 260 8943, 280 9770, 313 10220, 403 11280, 461 10743, 629 14099, 763 14039, 1010 13085, 1186 9067, 
Zhejiang University, 193 5359, 198 5198, 240 5341, 307 6872, 363 13662, 375 7020, 562 9863, 740 9441, 970 8567, 1285 10790, 
Peking University, 341 12578, 368 11468, 412 13794, 488 15225, 579 14288, 651 16360, 808 18273, 925 15389, 1232 12660, 1555 10815, 
Sun Yat-sen University, 148 5577, 181 5499, 232 7295, 257 8515, 308 18483, 346 12210, 487 12157, 671 9787, 976 9598, 1108 7349, 
Shanghai Jiao Tong University, 167 5596, 206 32530, 218 5598, 306 8970, 336 19270, 378 16521, 491 14693, 682 10661, 833 8888, 1024 7250, 
Fudan University, 158 5174, 219 14486, 246 5446, 262 8143, 336 18023, 330 13219, 438 11964, 543 6791, 697 5788, 902 5108, 
Shandong University, 54 1769, 68 1474, 86 1614, 128 4551, 157 3222, 173 2891, 254 4248, 282 4165, 418 3991, 614 5022, 
Huazhong University of Science & Technology, 79 2947, 97 3873, 128 2741, 161 4671, 199 4035, 249 5995, 356 6858, 417 7483, 582 6401, 832 9911, 
Xi'an Jiaotong University, 87 3517, 117 2994, 107 3584, 134 3562, 135 3400, 172 3302, 284 4951, 361 5236, 514 4712, 702 5338, 
Southeast University - China, 45 1210, 84 2955, 90 3251, 107 3034, 108 2738, 184 2746, 265 4514, 375 4980, 470 4604, 628 4067, 
Beihang University, 47 1557, 48 1609, 52 1244, 74 1351, 86 1779, 128 2699, 194 3857, 250 3971, 330 3345, 396 2284, 
Harbin Institute of Technology, 33 1349, 43 1132, 67 1990, 86 2851, 106 2872, 110 2649, 158 3561, 241 3893, 338 3421, 414 2370, 
Tongji University, 50 1669, 95 2675, 122 3303, 134 3525, 163 3629, 221 4511, 324 6482, 427 6967, 599 6278, 769 4337, 
Wuhan University, 78 1848, 119 2899, 161 3301, 197 6350, 243 15351, 306 11776, 444 8936, 576 8426, 766 7464, 1036 11933, 
Sichuan University, 79 3110, 94 2648, 123 2964, 174 5242, 204 11121, 217 9109, 318 5431, 443 7417, 676 7679, 913 5781, 
Northwestern Polytechnical University, 8 210, 8 148, 14 377, 22 345, 23 619, 28 1249, 61 1696, 102 2247, 143 1640, 164 1086, 
Jilin University, 25 631, 31 979, 44 805, 46 681, 71 787, 94 1482, 134 1841, 197 2454, 313 2943, 446 2281, 
Beijing Normal University, 181 5335, 205 8615, 269 8600, 363 11042, 374 7951, 471 11318, 663 10783, 779 12020, 1088 9625, 1284 6823, 
Central South University, 72 2446, 80 3027, 117 2760, 191 4890, 190 15374, 233 7363, 345 9147, 472 9929, 633 6934, 853 6335, 
