SchoolName, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 
Beijing Institute of Technology, 566 503 63 0 35 34 1 0 , 877 785 76 16 76 63 13 0 , 831 741 86 4 123 104 19 0 , 950 882 66 2 176 164 12 0 , 1075 998 76 1 292 274 18 0 , 1038 937 91 10 387 357 30 0 , 1318 1233 85 0 651 601 50 0 , 1628 1473 149 6 724 597 124 3 , 2992 2824 158 10 1864 1702 152 10 , 2547 2402 134 11 1678 1556 112 10 , 
Tsinghua University, 1917 1729 180 8 671 635 35 1 , 2341 2115 214 12 974 897 74 3 , 2701 2389 295 17 1193 1037 147 9 , 2835 2495 315 25 1241 1042 181 18 , 2763 2377 376 10 1584 1334 245 5 , 2652 2344 300 8 1803 1594 202 7 , 3355 2945 390 20 2180 1842 318 20 , 4203 3613 561 29 2278 1722 528 28 , 7205 6468 713 24 5148 4438 689 21 , 5960 5415 493 52 4182 3716 418 48 , 
Zhejiang University, 2903 2099 724 80 307 286 21 0 , 3404 2688 667 49 596 536 57 3 , 3587 2719 752 116 877 774 103 0 , 3566 2799 745 22 1048 915 133 0 , 3987 2985 938 64 1544 1302 241 1 , 3845 3027 750 68 1624 1388 234 2 , 4248 3568 569 111 2170 1811 349 10 , 4827 3919 786 122 2464 1795 646 23 , 8274 7328 789 157 5726 4792 777 157 , 6265 5610 611 44 4759 4185 532 42 , 
Peking University, 698 673 25 0 102 99 3 0 , 779 756 23 0 191 180 11 0 , 825 774 51 0 218 206 12 0 , 889 828 60 1 287 258 29 0 , 866 798 63 5 373 335 35 3 , 891 824 65 2 403 365 36 2 , 1035 981 50 4 559 520 35 4 , 1063 978 82 3 561 481 77 3 , 2024 1920 104 0 1589 1485 104 0 , 1502 1395 103 4 987 895 88 4 , 
Sun Yat-sen University, 522 486 35 1 48 43 5 0 , 596 553 40 3 107 98 8 1 , 597 540 57 0 161 139 22 0 , 759 652 94 13 204 169 34 1 , 844 765 70 9 249 214 33 2 , 966 908 57 1 294 258 36 0 , 1233 1141 80 12 410 345 59 6 , 1463 1352 104 7 507 408 92 7 , 2190 2098 82 10 1249 1158 81 10 , 1685 1622 59 4 882 823 55 4 , 
Shanghai Jiao Tong University, 1072 988 83 1 106 94 12 0 , 1809 1715 94 0 241 221 20 0 , 1896 1744 145 7 344 314 30 0 , 1937 1824 109 4 425 385 40 0 , 2021 1887 130 4 719 662 57 0 , 2142 1987 154 1 926 843 83 0 , 1945 1820 125 0 1173 1078 95 0 , 2065 1913 143 9 1197 1067 121 9 , 3806 3629 170 7 2554 2383 164 7 , 2955 2764 176 15 1974 1806 154 14 , 
Fudan University, 683 650 31 2 23 20 3 0 , 697 672 24 1 104 102 2 0 , 691 645 44 2 76 72 3 1 , 661 625 36 0 94 86 8 0 , 630 563 67 0 145 132 13 0 , 663 630 31 2 202 192 10 0 , 795 735 60 0 397 341 56 0 , 748 707 30 11 307 266 30 11 , 1244 1190 52 2 654 601 52 1 , 1022 957 64 1 531 477 53 1 , 
Shandong University, 811 626 185 0 44 42 2 0 , 1136 878 258 0 127 107 20 0 , 1265 929 333 3 212 167 44 1 , 1267 986 281 0 311 269 42 0 , 1570 1269 298 3 493 416 76 1 , 1580 1250 329 1 637 493 143 1 , 1882 1599 282 1 941 793 147 1 , 2145 1760 379 6 1102 775 324 3 , 3612 3343 260 9 2655 2396 250 9 , 3032 2865 162 5 2131 1987 140 4 , 
Huazhong University of Science & Technology, 710 584 121 5 152 146 6 0 , 1004 807 191 6 201 180 20 1 , 1034 831 181 22 288 232 48 8 , 1391 1115 272 4 445 350 91 4 , 1534 1239 294 1 644 528 116 0 , 1455 1237 218 0 683 579 104 0 , 2222 1953 264 5 1125 947 175 3 , 2505 2144 354 7 1251 953 296 2 , 4654 4438 211 5 3533 3325 203 5 , 3793 3539 249 5 3093 2878 211 4 , 
Xi'an Jiaotong University, 802 611 167 24 59 52 7 0 , 1084 973 90 21 127 110 17 0 , 1092 965 122 5 209 171 38 0 , 1347 1191 152 4 305 266 37 2 , 1362 1228 133 1 448 407 41 0 , 1598 1422 174 2 673 605 67 1 , 1999 1794 200 5 1065 944 117 4 , 2201 1956 241 4 1229 1036 192 1 , 4746 4500 239 7 2954 2723 224 7 , 4275 4051 221 3 3607 3430 174 3 , 
