专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,2953,2896,50,7,2297,2248,42,7
2019,3592,3543,44,5,2642,2594,43,5
2018,2146,2084,60,2,1043,992,49,2
2017,1840,1793,47,0,967,943,24,0
2016,1363,1317,45,1,635,616,18,1
2015,1279,1231,43,5,529,516,13,0
2014,1351,1293,55,3,368,350,15,3
2013,1295,1232,60,3,292,284,7,1
2012,1360,1295,63,2,204,200,3,1
2011,1116,1042,67,7,113,112,1,0
2010,1063,1004,59,0,67,67,0,0
2009,913,863,50,0,48,48,0,0
2008,780,719,61,0,33,31,2,0
2007,515,484,31,0,12,12,0,0
2006,261,232,29,0,2,0,2,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
