专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,2547,2402,134,11,1678,1556,112,10
2019,2992,2824,158,10,1864,1702,152,10
2018,1628,1473,149,6,724,597,124,3
2017,1318,1233,85,0,651,601,50,0
2016,1038,937,91,10,387,357,30,0
2015,1075,998,76,1,292,274,18,0
2014,950,882,66,2,176,164,12,0
2013,831,741,86,4,123,104,19,0
2012,877,785,76,16,76,63,13,0
2011,566,503,63,0,35,34,1,0
2010,398,360,34,4,23,23,0,0
2009,338,301,32,5,8,8,0,0
2008,221,203,16,2,6,5,0,1
2007,144,131,12,1,1,1,0,0
2006,79,71,7,1,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
