专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,331,302,26,3,229,204,22,3
2019,556,500,54,2,400,347,51,2
2018,310,262,45,3,158,124,31,3
2017,274,251,23,0,104,97,7,0
2016,236,191,45,0,98,84,14,0
2015,233,198,35,0,61,55,6,0
2014,233,214,18,1,50,48,2,0
2013,176,160,16,0,34,34,0,0
2012,237,219,18,0,21,21,0,0
2011,166,151,15,0,17,17,0,0
2010,206,187,19,0,2,2,0,0
2009,109,100,9,0,0,0,0,0
2008,53,46,7,0,0,0,0,0
2007,34,32,2,0,0,0,0,0
2006,37,33,4,0,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
