专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,3189,2876,310,3,2349,2091,255,3
2019,4337,3977,360,0,2849,2503,346,0
2018,2450,2142,305,3,1066,865,201,0
2017,1910,1700,206,4,772,678,93,1
2016,1376,1176,196,4,478,412,66,0
2015,1194,972,207,15,352,305,47,0
2014,865,690,173,2,255,224,31,0
2013,822,677,144,1,201,177,24,0
2012,656,566,90,0,122,103,19,0
2011,536,463,73,0,126,111,15,0
2010,500,453,43,4,51,51,0,0
2009,454,382,69,3,22,19,3,0
2008,394,352,42,0,5,5,0,0
2007,256,222,34,0,0,0,0,0
2006,142,116,23,3,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
