专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,1022,957,64,1,531,477,53,1
2019,1244,1190,52,2,654,601,52,1
2018,748,707,30,11,307,266,30,11
2017,795,735,60,0,397,341,56,0
2016,663,630,31,2,202,192,10,0
2015,630,563,67,0,145,132,13,0
2014,661,625,36,0,94,86,8,0
2013,691,645,44,2,76,72,3,1
2012,697,672,24,1,104,102,2,0
2011,683,650,31,2,23,20,3,0
2010,686,656,28,2,9,9,0,0
2009,338,317,21,0,13,13,0,0
2008,559,513,44,2,4,4,0,0
2007,350,326,19,5,2,2,0,0
2006,343,324,18,1,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
