专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,3400,3273,112,15,2077,1974,93,10
2019,4942,4760,174,8,3271,3095,168,8
2018,2874,2719,148,7,1451,1321,124,6
2017,2516,2356,155,5,1695,1586,107,2
2016,2233,2130,103,0,1196,1155,41,0
2015,2740,2654,85,1,1117,1095,22,0
2014,2367,2280,83,4,583,559,21,3
2013,2066,2022,40,4,400,385,12,3
2012,1698,1638,55,5,353,334,19,0
2011,1143,1104,39,0,237,236,1,0
2010,1206,1163,42,1,134,134,0,0
2009,905,880,25,0,64,64,0,0
2008,850,818,32,0,35,31,4,0
2007,493,463,29,1,13,13,0,0
2006,428,412,16,0,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
