专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,3793,3539,249,5,3093,2878,211,4
2019,4654,4438,211,5,3533,3325,203,5
2018,2505,2144,354,7,1251,953,296,2
2017,2222,1953,264,5,1125,947,175,3
2016,1455,1237,218,0,683,579,104,0
2015,1534,1239,294,1,644,528,116,0
2014,1391,1115,272,4,445,350,91,4
2013,1034,831,181,22,288,232,48,8
2012,1004,807,191,6,201,180,20,1
2011,710,584,121,5,152,146,6,0
2010,659,560,91,8,76,76,0,0
2009,488,393,91,4,36,36,0,0
2008,486,364,119,3,21,19,0,2
2007,348,266,80,2,3,2,1,0
2006,183,138,44,1,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
