专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,3662,2658,995,9,2371,1486,876,9
2019,4810,3633,1171,6,3025,1906,1113,6
2018,3630,2484,1138,8,1593,784,805,4
2017,2700,1888,805,7,992,659,332,1
2016,2318,1509,804,5,369,289,79,1
2015,1955,1313,640,2,356,259,97,0
2014,1567,1008,559,0,205,139,66,0
2013,1186,798,388,0,161,127,34,0
2012,975,761,213,1,74,62,12,0
2011,621,475,146,0,41,30,11,0
2010,465,361,103,1,19,19,0,0
2009,364,304,60,0,4,4,0,0
2008,311,253,58,0,3,3,0,0
2007,217,159,58,0,2,1,1,0
2006,156,121,34,1,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
