专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,1957,1828,74,55,1086,968,66,52
2019,3066,2798,129,139,1897,1646,112,139
2018,1732,1517,133,82,570,469,85,16
2017,1660,1182,93,385,461,425,36,0
2016,967,880,82,5,282,267,14,1
2015,761,701,45,15,247,244,2,1
2014,650,605,40,5,186,185,1,0
2013,992,817,139,36,119,117,2,0
2012,1098,760,270,68,77,69,8,0
2011,740,464,211,65,22,18,4,0
2010,504,319,111,74,13,13,0,0
2009,363,237,55,71,3,3,0,0
2008,253,190,41,22,4,4,0,0
2007,149,95,26,28,0,0,0,0
2006,126,84,22,20,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
