专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,1502,1395,103,4,987,895,88,4
2019,2024,1920,104,0,1589,1485,104,0
2018,1063,978,82,3,561,481,77,3
2017,1035,981,50,4,559,520,35,4
2016,891,824,65,2,403,365,36,2
2015,866,798,63,5,373,335,35,3
2014,889,828,60,1,287,258,29,0
2013,825,774,51,0,218,206,12,0
2012,779,756,23,0,191,180,11,0
2011,698,673,25,0,102,99,3,0
2010,561,552,9,0,89,89,0,0
2009,439,424,15,0,71,71,0,0
2008,411,407,4,0,32,32,0,0
2007,279,273,5,1,4,4,0,0
2006,272,266,6,0,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
