专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,3032,2865,162,5,2131,1987,140,4
2019,3612,3343,260,9,2655,2396,250,9
2018,2145,1760,379,6,1102,775,324,3
2017,1882,1599,282,1,941,793,147,1
2016,1580,1250,329,1,637,493,143,1
2015,1570,1269,298,3,493,416,76,1
2014,1267,986,281,0,311,269,42,0
2013,1265,929,333,3,212,167,44,1
2012,1136,878,258,0,127,107,20,0
2011,811,626,185,0,44,42,2,0
2010,591,464,127,0,31,31,0,0
2009,484,372,112,0,14,14,0,0
2008,523,407,115,1,15,15,0,0
2007,280,200,80,0,2,2,0,0
2006,224,182,42,0,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
