专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,2955,2764,176,15,1974,1806,154,14
2019,3806,3629,170,7,2554,2383,164,7
2018,2065,1913,143,9,1197,1067,121,9
2017,1945,1820,125,0,1173,1078,95,0
2016,2142,1987,154,1,926,843,83,0
2015,2021,1887,130,4,719,662,57,0
2014,1937,1824,109,4,425,385,40,0
2013,1896,1744,145,7,344,314,30,0
2012,1809,1715,94,0,241,221,20,0
2011,1072,988,83,1,106,94,12,0
2010,1297,1225,71,1,78,78,0,0
2009,1044,988,54,2,33,33,0,0
2008,1146,1095,50,1,19,19,0,0
2007,900,856,42,2,7,7,0,0
2006,1042,1002,36,4,3,0,3,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
