专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,2309,2009,287,13,1652,1393,247,12
2019,3048,2632,395,21,2005,1599,387,19
2018,1803,1568,217,18,629,470,154,5
2017,1311,1117,190,4,530,428,99,3
2016,1166,948,216,2,359,304,53,2
2015,1019,855,162,2,286,246,38,2
2014,812,671,140,1,210,180,29,1
2013,1077,825,252,0,169,151,18,0
2012,844,767,69,8,132,126,6,0
2011,423,379,42,2,82,78,3,1
2010,464,432,32,0,35,35,0,0
2009,376,351,25,0,22,22,0,0
2008,412,382,30,0,14,14,0,0
2007,396,337,58,1,15,13,2,0
2006,264,241,23,0,1,0,1,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
