专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,3409,3256,150,3,2031,1896,132,3
2019,5194,5057,132,5,3537,3402,130,5
2018,3033,2892,139,2,1528,1413,114,1
2017,2870,2713,149,8,1602,1498,98,6
2016,2391,2234,140,17,948,886,60,2
2015,2441,2248,191,2,797,725,71,1
2014,2593,2370,219,4,412,354,56,2
2013,2440,1785,327,328,246,215,31,0
2012,3076,1627,621,828,232,191,41,0
2011,2630,1086,466,1078,110,97,13,0
2010,1493,862,255,376,87,86,1,0
2009,1268,595,171,502,23,22,1,0
2008,846,544,163,139,23,18,3,2
2007,541,319,135,87,7,6,1,0
2006,496,257,76,163,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
