专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,1685,1622,59,4,882,823,55,4
2019,2190,2098,82,10,1249,1158,81,10
2018,1463,1352,104,7,507,408,92,7
2017,1233,1141,80,12,410,345,59,6
2016,966,908,57,1,294,258,36,0
2015,844,765,70,9,249,214,33,2
2014,759,652,94,13,204,169,34,1
2013,597,540,57,0,161,139,22,0
2012,596,553,40,3,107,98,8,1
2011,522,486,35,1,48,43,5,0
2010,562,515,44,3,15,15,0,0
2009,376,349,27,0,22,22,0,0
2008,374,347,27,0,17,16,1,0
2007,303,284,12,7,4,4,0,0
2006,198,185,13,0,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
