专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,2094,1817,260,17,1338,1087,239,12
2019,2787,2537,241,9,1737,1495,233,9
2018,1599,1405,189,5,779,599,175,5
2017,1522,1341,181,0,860,723,137,0
2016,1230,1038,192,0,445,352,93,0
2015,1322,1065,256,1,318,239,78,1
2014,1246,1047,198,1,170,108,61,1
2013,1107,885,222,0,145,84,61,0
2012,861,738,123,0,109,77,32,0
2011,683,551,131,1,62,58,4,0
2010,591,495,71,25,17,16,1,0
2009,471,412,59,0,17,17,0,0
2008,525,443,79,3,7,7,0,0
2007,380,315,65,0,4,4,0,0
2006,222,181,41,0,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
