专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,5960,5415,493,52,4182,3716,418,48
2019,7205,6468,713,24,5148,4438,689,21
2018,4203,3613,561,29,2278,1722,528,28
2017,3355,2945,390,20,2180,1842,318,20
2016,2652,2344,300,8,1803,1594,202,7
2015,2763,2377,376,10,1584,1334,245,5
2014,2835,2495,315,25,1241,1042,181,18
2013,2701,2389,295,17,1193,1037,147,9
2012,2341,2115,214,12,974,897,74,3
2011,1917,1729,180,8,671,635,35,1
2010,1787,1656,130,1,383,383,0,0
2009,1523,1418,102,3,279,278,1,0
2008,1255,1163,89,3,131,130,1,0
2007,1103,995,104,4,35,35,0,0
2006,910,803,106,1,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
