专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,4275,4051,221,3,3607,3430,174,3
2019,4746,4500,239,7,2954,2723,224,7
2018,2201,1956,241,4,1229,1036,192,1
2017,1999,1794,200,5,1065,944,117,4
2016,1598,1422,174,2,673,605,67,1
2015,1362,1228,133,1,448,407,41,0
2014,1347,1191,152,4,305,266,37,2
2013,1092,965,122,5,209,171,38,0
2012,1084,973,90,21,127,110,17,0
2011,802,611,167,24,59,52,7,0
2010,536,489,37,10,22,22,0,0
2009,525,458,38,29,17,17,0,0
2008,397,347,28,22,23,23,0,0
2007,242,223,19,0,6,6,0,0
2006,281,262,18,1,0,0,0,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
