专利统计表,,,,,,,,
年份,中国专利申请数量,中国发明专利申请数量,中国实用新型专利申请数量,中国外观设计专利申请数量,中国专利授权数量,中国发明专利授权数量,中国实用新型专利授权数量,中国外观设计专利授权数量
2020,6265,5610,611,44,4759,4185,532,42
2019,8274,7328,789,157,5726,4792,777,157
2018,4827,3919,786,122,2464,1795,646,23
2017,4248,3568,569,111,2170,1811,349,10
2016,3845,3027,750,68,1624,1388,234,2
2015,3987,2985,938,64,1544,1302,241,1
2014,3566,2799,745,22,1048,915,133,0
2013,3587,2719,752,116,877,774,103,0
2012,3404,2688,667,49,596,536,57,3
2011,2903,2099,724,80,307,286,21,0
2010,2883,2143,578,162,154,151,3,0
2009,2181,1705,416,60,101,101,0,0
2008,2042,1647,325,70,60,59,1,0
2007,1603,1294,295,14,16,14,2,0
2006,1412,1167,236,9,3,0,3,0
统计说明：,,,,,,,,
? 专利数据：来源于《中国专利全文数据库（知网版）》，根据法律状态分为申请专利和授权专利。,,,,,,,,
? 学科分类：发明专利和实用新型专利采用世界各国通用的IPC国际专利分类体系，外观设计专利采用洛加诺分类体系，便于查询某项专利所属的技术领域信息。,,,,,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,,,,,
